year,BC,CH4,CO2,HC,N2O,NH3,NOx,OC,SO2,VOC
1861,0.0032738681201945246,0.053630309570482274,0.07303673098472849,1.2410925604471922e-09,0.006170561000674023,-0.0007276625643901661,-0.0007169377879711828,-0.023236729823905032,-0.017679001400140972,0.030857826040273643
1862,0.0033457472634558973,0.05481674144992559,0.07442327927526252,1.3897470843476413e-09,0.006479676372163469,-0.0007377343698571023,-0.0007551922962154554,-0.023668328269327552,-0.018461436143043207,0.0313466617846678
1863,0.003429458314143307,0.0561627170051889,0.0758224541869505,1.539851843878961e-09,0.006795200690313089,-0.0007485536183773582,-0.0007962791342306132,-0.024116311170566326,-0.019434046747369853,0.031868780916778736
1864,0.0035221868476983074,0.0576703997850763,0.07723165240625626,1.69111788400299e-09,0.0071126699615355424,-0.0007598951852036387,-0.0008415651549835049,-0.024572732933415168,-0.020569930784262853,0.03241429991644321
1865,0.0036171746484172577,0.059279271682933884,0.07865104935488372,1.8433291580120448e-09,0.007437248846870541,-0.0007716398096192249,-0.0008910240835714535,-0.02503007216823218,-0.021758898384570582,0.032963813949527423
1866,0.003705822259544641,0.06098925330630167,0.08006836156994865,1.9963240632278543e-09,0.007771334062713067,-0.0007837261463535249,-0.000940400211671042,-0.025498850095510738,-0.022879126058497398,0.03351103573013609
1867,0.0038168882529812454,0.06279854940258758,0.08149897670596133,2.149981653092261e-09,0.008111191234636585,-0.0007970726100889839,-0.0009946934463403198,-0.02602125410698682,-0.02422336367779323,0.03412857791431295
1868,0.003919770178947731,0.06463045115702293,0.08289114368338263,2.304211341274768e-09,0.008462057970662146,-0.0008103784295466082,-0.001045453558234561,-0.02651299609113008,-0.025481607336127567,0.034691523844797824
1869,0.004026200967138518,0.066428365534126,0.0841936942857561,2.4589452133847396e-09,0.008817300196585137,-0.0008237282437047401,-0.0011016952746117092,-0.02700432132020692,-0.026912787243072292,0.035272534340435625
1870,0.004135455023608677,0.06812178768205177,0.0854501505943297,2.6141322858687027e-09,0.009170483598770639,-0.0008375649990053132,-0.001156448312549028,-0.027544566503593586,-0.02822450547026099,0.03587712108890508
1871,0.004243477647520649,0.06963419908424387,0.08669093309673984,2.7697342189351467e-09,0.009534322249492484,-0.0008530307367425508,-0.0012227191807669664,-0.02803733449825896,-0.029830612854323126,0.036470191860191625
1872,0.004373029993393958,0.07096768962952822,0.08798390842812279,2.92572211525002e-09,0.009902290655700335,-0.00086967925194896,-0.001305677933401147,-0.028537969108023434,-0.03192930042680663,0.037153550314139465
1873,0.004501427503538581,0.07212558602287034,0.0893695314364828,3.0820741294132364e-09,0.010272035290968939,-0.0008873434640162894,-0.001398144608625496,-0.029014696555384762,-0.03415284875865189,0.03784134687563294
1874,0.004588655483405974,0.07325189271161214,0.09083531877758565,3.2387736828721194e-09,0.010640247116699579,-0.0009057193197290793,-0.0014710304117904983,-0.029401641949208534,-0.03562361368323695,0.038349136959446306
1875,0.004678329023692088,0.07435459281621996,0.09242088732538689,3.3958081309349033e-09,0.011008999416251202,-0.0009246546312210962,-0.0015435911583328301,-0.029766442579586216,-0.03740483670215136,0.0388720159550883
1876,0.004753684695992742,0.07540414304525962,0.09409473363256532,3.5531677673821395e-09,0.011368778777001175,-0.0009440656500164564,-0.0016143399670427638,-0.030099200451784443,-0.039056973869897024,0.03933771190833284
1877,0.004831424123847778,0.07643231363862159,0.09584149980200969,3.71084508117388e-09,0.011711464075461754,-0.0009639227749044596,-0.001682989937799202,-0.030427536911549244,-0.04067850167001777,0.039806696023689886
1878,0.004898732456741519,0.07747815023692879,0.09766189527568597,3.8688342014049405e-09,0.012046031836310353,-0.000984133535922546,-0.0017467798933050631,-0.030729613960744306,-0.04205143393236098,0.04023099832780541
1879,0.004994781917436624,0.0785908185399319,0.09951156064158195,4.027130482831405e-09,0.012371164350998007,-0.001004707262766647,-0.001828691309825166,-0.031088168047956756,-0.0439164795086254,0.040764567386664556
1880,0.00512638569436039,0.07979120896380412,0.1014268210877627,4.185730196366351e-09,0.012689869334398413,-0.0010256347199195102,-0.0019517616260218318,-0.03152059852552207,-0.04673175737779069,0.04150594448944066
1881,0.005257556065199977,0.08104037883179539,0.10342877610953365,4.3446302979594304e-09,0.012992363644738682,-0.0010475064584051107,-0.0020626105106324186,-0.03190688800864866,-0.04943991873238202,0.04218108745749248
1882,0.005402917480221934,0.0823234777951941,0.1055271422590317,4.503828256008513e-09,0.013284357833370461,-0.0010701972041109236,-0.002177182576318123,-0.032299458223232214,-0.05230559181881977,0.04289104504787807
1883,0.0055609543466399874,0.0836445315188179,0.10762079225456604,4.663321922478952e-09,0.01356509259002854,-0.0010934751007171783,-0.0022900452031910422,-0.032707488818847635,-0.05544158348131811,0.043614288814530194
1884,0.005701566194775515,0.08502112642243255,0.10972202002273071,4.823109436660942e-09,0.013837027233980653,-0.0011172463257287364,-0.002389398678905234,-0.033070750113862055,-0.05809405077620792,0.04423841541168943
1885,0.005821870583774594,0.08648584714210586,0.11190341969530032,4.98318915329882e-09,0.014100479704257034,-0.0011414279929300374,-0.0024779549938693793,-0.033389352897245504,-0.06026665945892462,0.04476265955098754
1886,0.005934937868265488,0.0880083832919579,0.11418254036434375,5.143559588919591e-09,0.014352663857026693,-0.0011659990848257975,-0.0025731940598079503,-0.03368218070654434,-0.0620919478459932,0.04525147292601615
1887,0.006060796297842771,0.08961359127634383,0.11655821052982357,5.304219381751624e-09,0.014606567369043885,-0.0011908757548913513,-0.002684707720267966,-0.033987734365227,-0.06419557315601038,0.045794380073165296
1888,0.006243565870855028,0.09126734591789078,0.1190787057494422,5.465167261791398e-09,0.014849290912755227,-0.0012164090745210511,-0.0028371189674057497,-0.03439282497510951,-0.06753013491041455,0.046570371086429474
1889,0.006379733214021455,0.09299094955376966,0.12171071443230566,5.6264020284482634e-09,0.015096797358259457,-0.0012423434576038467,-0.0029702901353334025,-0.034706561022987845,-0.07012383715275992,0.04718821342002146
1890,0.00656720842854556,0.09476711741255571,0.12441706940364312,5.7879225338479895e-09,0.01533341973407515,-0.0012688807264312819,-0.003142232044141707,-0.035112715813159945,-0.07373414642355569,0.048053780400990176
1891,0.006757596817940014,0.096591130823549,0.12720680419569788,5.949727670361769e-09,0.015557970674717607,-0.001296002148801048,-0.003318548153966244,-0.035512709343059015,-0.07754959163334603,0.04893236414825501
1892,0.006928858155201428,0.09853279514284204,0.13004578472786016,6.1118163612907546e-09,0.015784112926295755,-0.001323497485581402,-0.0034557468065488854,-0.03586392248003041,-0.08089757541412668,0.04968805521423227
1893,0.007062082648869563,0.10054556757026582,0.13283903909735104,6.274187553906698e-09,0.01602006378056083,-0.0013513151867031545,-0.0035573596587298167,-0.03613834414076362,-0.08325962252676525,0.050258462605919346
1894,0.007186585812738641,0.1025380931618778,0.13560743715293316,6.4368402142521726e-09,0.016274996273190317,-0.001379384821426222,-0.003669122073499369,-0.036391135516277776,-0.08591517894566028,0.05080907643598138
1895,0.007352268606303422,0.10445303583035874,0.13830530323588255,6.5997733232547015e-09,0.016547739266354503,-0.0014079425294408266,-0.0038130836974251607,-0.03671871649857194,-0.08935893871449033,0.051543368017239084
1896,0.0075083001754186795,0.10614393975543494,0.14094733104248444,6.7629858738219045e-09,0.01681684454909356,-0.0014368001921708274,-0.003970662511214203,-0.03701870965753895,-0.09291800918745273,0.05220401535790107
1897,0.007673625894198452,0.10766204009117428,0.14353849027059948,6.926476868669451e-09,0.017085337945396944,-0.0014659174588454692,-0.0041410647290569935,-0.03733334397666799,-0.09689129739686252,0.05285517010811329
1898,0.007860586984356665,0.10922328036685607,0.1461478583218026,7.090245318695979e-09,0.017353475394713196,-0.001495353053308994,-0.004323640003769304,-0.037693275254009055,-0.10148345587802075,0.05355394593501314
1899,0.00810212571108776,0.11088963646370349,0.14884953287069322,7.254290241766642e-09,0.01763801340932753,-0.0015252017681168406,-0.004554798511313174,-0.03815276364836652,-0.1075380974578106,0.05449634430705981
1900,0.008344464466792316,0.1126362563187686,0.15168072539493221,7.418610661801784e-09,0.01793543973257104,-0.001555453428619017,-0.004810913911684174,-0.03863262828124354,-0.11376149673685304,0.055458684475447266
1901,0.008580209879668035,0.11444046829052686,0.15452208968633943,7.583205608093332e-09,0.018249154768933958,-0.0015870380716896742,-0.005078897624348411,-0.03911535712076368,-0.11991998588478003,0.05642612141451753
1902,0.008799886416796934,0.11638312334251853,0.1573436519795497,7.748074114791465e-09,0.01861988446657902,-0.001619710419139629,-0.005352460753379194,-0.039559720174092976,-0.12566401116829232,0.05740732699397724
1903,0.00908662575230943,0.11844700347917565,0.16017394254183456,7.91321522051822e-09,0.019057018376571717,-0.0016532898150631537,-0.00569139892427165,-0.0401263827654813,-0.13307138545788447,0.05874957094031067
1904,0.009310373703720034,0.12077970907136218,0.16295269518834057,8.078627968076056e-09,0.019534501488945765,-0.0016874249768904818,-0.006024440984971497,-0.04059388796613526,-0.13936952106856185,0.05986654077515096
1905,0.009563678949019666,0.12331431412182395,0.16576549713895894,8.24431140422731e-09,0.020040886229087687,-0.0017221511388755232,-0.006388040615565624,-0.04111384283642591,-0.14669171664502004,0.06118683397963604
